1	 211	 'CLEAR-SKY (II) UP SURFACE SW FLUX '	 'TMONMN '	 'DIAG '	 api
1	 211	 'CLEAR-SKY (II) UP SURFACE SW FLUX '	 'TMPMN00 '	 'DIAG '	 api
1	 211	 'CLEAR-SKY (II) UP SURFACE SW FLUX '	 'TMPMN03 '	 'DIAG '	 api
1	 211	 'CLEAR-SKY (II) UP SURFACE SW FLUX '	 'TMPMN06 '	 'DIAG '	 api
1	 211	 'CLEAR-SKY (II) UP SURFACE SW FLUX '	 'TMPMN09 '	 'DIAG '	 api
1	 211	 'CLEAR-SKY (II) UP SURFACE SW FLUX '	 'TMPMN12 '	 'DIAG '	 api
1	 211	 'CLEAR-SKY (II) UP SURFACE SW FLUX '	 'TMPMN15 '	 'DIAG '	 api
1	 211	 'CLEAR-SKY (II) UP SURFACE SW FLUX '	 'TMPMN18 '	 'DIAG '	 api
1	 211	 'CLEAR-SKY (II) UP SURFACE SW FLUX '	 'TMPMN21 '	 'DIAG '	 api
1	 221	 'LAYER CLD LIQ RE * LAYER CLD WEIGHT '	 'TMONMN '	 'DALLTH '	 apj
1	 223	 'LAYER CLOUD WEIGHT FOR MICROPHYSICS '	 'TMONMN '	 'DALLTH '	 apj
1	 225	 'CONV CLOUD LIQ RE * CONV CLD WEIGHT '	 'TMONMN '	 'DALLTH '	 apj
1	 226	 'CONV CLOUD WEIGHT FOR MICROPHYSICS '	 'TMONMN '	 'DALLTH '	 apj
1	 235	 'TOTAL DOWNWARD SURFACE SW FLUX '	 'TDAYM '	 'DIAG '	 apd
1	 235	 'TOTAL DOWNWARD SURFACE SW FLUX '	 'T3H '	 'DIAG '	 aph
1	 235	 'TOTAL DOWNWARD SURFACE SW FLUX '	 'TMONMN '	 'DIAG '	 apj
1	 235	 'TOTAL DOWNWARD SURFACE SW FLUX '	 'TMPMN00 '	 'DIAG '	 apj
1	 235	 'TOTAL DOWNWARD SURFACE SW FLUX '	 'TMPMN03 '	 'DIAG '	 apj
1	 235	 'TOTAL DOWNWARD SURFACE SW FLUX '	 'TMPMN06 '	 'DIAG '	 apj
1	 235	 'TOTAL DOWNWARD SURFACE SW FLUX '	 'TMPMN09 '	 'DIAG '	 apj
1	 235	 'TOTAL DOWNWARD SURFACE SW FLUX '	 'TMPMN12 '	 'DIAG '	 apj
1	 235	 'TOTAL DOWNWARD SURFACE SW FLUX '	 'TMPMN15 '	 'DIAG '	 apj
1	 235	 'TOTAL DOWNWARD SURFACE SW FLUX '	 'TMPMN18 '	 'DIAG '	 apj
1	 235	 'TOTAL DOWNWARD SURFACE SW FLUX '	 'TMPMN21 '	 'DIAG '	 apj
1	 237	 'NET DOWNWARD SW FLUX AT THE TROP. '	 'TMONMN '	 'DIAG '	 apj
1	 241	 'DROPLET NUMBER CONC * LYR CLOUD WGT '	 'TMONMN '	 'DALLTH '	 apj
1	 242	 'LAYER CLOUD LWC * LAYER CLOUD WEIGHT'	 'TMONMN '	 'DALLTH '	 apj
1	 245	 '2-D RE DISTRIBUTION * 2-D RE WEIGHT '	 'TMONMN '	 'DIAG '	 apj
1	 246	 'WEIGHT FOR 2-D RE DISTRIBUTION '	 'TMONMN '	 'DIAG '	 apj
1	 247	 'FILM-MODE SEA-SALT AEROSOL NUMBER '	 'TMONMN '	 'DALLTH '	 apj
1	 248	 'JET-MODE SEA-SALT AEROSOL NUMBER '	 'TMONMN '	 'DALLTH '	 apj
1	 254	 '2-D RE * WEIGHT - WARM CLOUDS ONLY '	 'TMONMN '	 'DIAG '	 apj
1	 255	 'WEIGHT FOR WARM CLOUD 2-D RE '	 'TMONMN '	 'DIAG '	 apj
1	 260	 'NET DN SW O SEA FLX BLW 690NM:SEA MN'	 'TDAYM '	 'DIAG '	 apd
1	 260	 'NET DN SW O SEA FLX BLW 690NM:SEA MN'	 'TMONMN '	 'DIAG '	 apj
1	 280	 'COLUMN-INTEGRATED Nd * SAMP. WEIGHT '	 'TMONMN '	 'DIAG '	 apj
1	 281	 'SAMP. WEIGHT FOR COL. INT. Nd '	 'TMONMN '	 'DIAG '	 apj
2	 201	 'NET DOWN SURFACE LW RAD FLUX '	 'TDAYM '	 'DIAG '	 apd
2	 201	 'NET DOWN SURFACE LW RAD FLUX '	 'T3H '	 'DIAG '	 aph
2	 201	 'NET DOWN SURFACE LW RAD FLUX '	 'TMONMN '	 'DIAG '	 apj
2	 201	 'NET DOWN SURFACE LW RAD FLUX '	 'TMPMN00 '	 'DIAG '	 apj
2	 201	 'NET DOWN SURFACE LW RAD FLUX '	 'TMPMN03 '	 'DIAG '	 apj
2	 201	 'NET DOWN SURFACE LW RAD FLUX '	 'TMPMN06 '	 'DIAG '	 apj
2	 201	 'NET DOWN SURFACE LW RAD FLUX '	 'TMPMN09 '	 'DIAG '	 apj
2	 201	 'NET DOWN SURFACE LW RAD FLUX '	 'TMPMN12 '	 'DIAG '	 apj
2	 201	 'NET DOWN SURFACE LW RAD FLUX '	 'TMPMN15 '	 'DIAG '	 apj
2	 201	 'NET DOWN SURFACE LW RAD FLUX '	 'TMPMN18 '	 'DIAG '	 apj
2	 201	 'NET DOWN SURFACE LW RAD FLUX '	 'TMPMN21 '	 'DIAG '	 apj
2	 203	 'NET DN LW RAD FLUX:OPEN SEA:SEA MEAN'	 'TDAYM '	 'DIAG '	 apd
2	 203	 'NET DN LW RAD FLUX:OPEN SEA:SEA MEAN'	 'TMONMN '	 'DIAG '	 apj
2	 204	 'TOTAL CLOUD AMOUNT IN LW RADIATION '	 'TDAYM '	 'DIAG '	 apd
2	 204	 'TOTAL CLOUD AMOUNT IN LW RADIATION '	 'T3H '	 'DIAG '	 aph
2	 204	 'TOTAL CLOUD AMOUNT IN LW RADIATION '	 'TMONMN '	 'DIAG '	 apj
2	 204	 'TOTAL CLOUD AMOUNT IN LW RADIATION '	 'TMPMN00 '	 'DIAG '	 apj
2	 204	 'TOTAL CLOUD AMOUNT IN LW RADIATION '	 'TMPMN03 '	 'DIAG '	 apj
2	 204	 'TOTAL CLOUD AMOUNT IN LW RADIATION '	 'TMPMN06 '	 'DIAG '	 apj
2	 204	 'TOTAL CLOUD AMOUNT IN LW RADIATION '	 'TMPMN09 '	 'DIAG '	 apj
2	 204	 'TOTAL CLOUD AMOUNT IN LW RADIATION '	 'TMPMN12 '	 'DIAG '	 apj
2	 204	 'TOTAL CLOUD AMOUNT IN LW RADIATION '	 'TMPMN15 '	 'DIAG '	 apj
2	 204	 'TOTAL CLOUD AMOUNT IN LW RADIATION '	 'TMPMN18 '	 'DIAG '	 apj
2	 204	 'TOTAL CLOUD AMOUNT IN LW RADIATION '	 'TMPMN21 '	 'DIAG '	 apj
2	 205	 'OUTGOING LW RAD FLUX (TOA) '	 'TMONMN '	 'DIAG '	 apj
2	 206	 'CLEAR-SKY (II) UPWARD LW FLUX (TOA) '	 'TDAYM '	 'DIAG '	 apf
2	 206	 'CLEAR-SKY (II) UPWARD LW FLUX (TOA) '	 'TMONMN '	 'DIAG '	 apj
2	 206	 'CLEAR-SKY (II) UPWARD LW FLUX (TOA) '	 'TMPMN00 '	 'DIAG '	 apj
2	 206	 'CLEAR-SKY (II) UPWARD LW FLUX (TOA) '	 'TMPMN03 '	 'DIAG '	 apj
2	 206	 'CLEAR-SKY (II) UPWARD LW FLUX (TOA) '	 'TMPMN06 '	 'DIAG '	 apj
2	 206	 'CLEAR-SKY (II) UPWARD LW FLUX (TOA) '	 'TMPMN09 '	 'DIAG '	 apj
2	 206	 'CLEAR-SKY (II) UPWARD LW FLUX (TOA) '	 'TMPMN12 '	 'DIAG '	 apj
2	 206	 'CLEAR-SKY (II) UPWARD LW FLUX (TOA) '	 'TMPMN15 '	 'DIAG '	 apj
2	 206	 'CLEAR-SKY (II) UPWARD LW FLUX (TOA) '	 'TMPMN18 '	 'DIAG '	 apj
2	 206	 'CLEAR-SKY (II) UPWARD LW FLUX (TOA) '	 'TMPMN21 '	 'DIAG '	 apj
2	 207	 'DOWNWARD LW RAD FLUX: SURFACE '	 'TDAYM '	 'DIAG '	 apd
2	 207	 'DOWNWARD LW RAD FLUX: SURFACE '	 'T3H '	 'DIAG '	 aph
2	 207	 'DOWNWARD LW RAD FLUX: SURFACE '	 'TMONMN '	 'DIAG '	 apj
2	 207	 'DOWNWARD LW RAD FLUX: SURFACE '	 'TMPMN00 '	 'DIAG '	 apj
2	 207	 'DOWNWARD LW RAD FLUX: SURFACE '	 'TMPMN03 '	 'DIAG '	 apj
2	 207	 'DOWNWARD LW RAD FLUX: SURFACE '	 'TMPMN06 '	 'DIAG '	 apj
2	 207	 'DOWNWARD LW RAD FLUX: SURFACE '	 'TMPMN09 '	 'DIAG '	 apj
2	 207	 'DOWNWARD LW RAD FLUX: SURFACE '	 'TMPMN12 '	 'DIAG '	 apj
2	 207	 'DOWNWARD LW RAD FLUX: SURFACE '	 'TMPMN15 '	 'DIAG '	 apj
2	 207	 'DOWNWARD LW RAD FLUX: SURFACE '	 'TMPMN18 '	 'DIAG '	 apj
2	 207	 'DOWNWARD LW RAD FLUX: SURFACE '	 'TMPMN21 '	 'DIAG '	 apj
2	 208	 'CLEAR-SKY (II) DOWN SURFACE LW FLUX '	 'TDAYM '	 'DIAG '	 apd
2	 208	 'CLEAR-SKY (II) DOWN SURFACE LW FLUX '	 'T3H '	 'DIAG '	 aph
2	 208	 'CLEAR-SKY (II) DOWN SURFACE LW FLUX '	 'TMONMN '	 'DIAG '	 apj
2	 208	 'CLEAR-SKY (II) DOWN SURFACE LW FLUX '	 'TMPMN00 '	 'DIAG '	 apj
2	 208	 'CLEAR-SKY (II) DOWN SURFACE LW FLUX '	 'TMPMN03 '	 'DIAG '	 apj
2	 208	 'CLEAR-SKY (II) DOWN SURFACE LW FLUX '	 'TMPMN06 '	 'DIAG '	 apj
2	 208	 'CLEAR-SKY (II) DOWN SURFACE LW FLUX '	 'TMPMN09 '	 'DIAG '	 apj
2	 208	 'CLEAR-SKY (II) DOWN SURFACE LW FLUX '	 'TMPMN12 '	 'DIAG '	 apj
2	 208	 'CLEAR-SKY (II) DOWN SURFACE LW FLUX '	 'TMPMN15 '	 'DIAG '	 apj
2	 208	 'CLEAR-SKY (II) DOWN SURFACE LW FLUX '	 'TMPMN18 '	 'DIAG '	 apj
2	 208	 'CLEAR-SKY (II) DOWN SURFACE LW FLUX '	 'TMPMN21 '	 'DIAG '	 apj
2	 237	 'NET DOWNWARD LW FLUX AT THE TROP. '	 'TMONMN '	 'DIAG '	 apj
2	 261	 'TOTAL CLOUD AMOUNT ON LEVELS '	 'TMONMN '	 'DALLTH '	 apj
2	 269	 'ISCCP CLOUD WEIGHTS '	 'TDAYM '	 'DIAG '	 apf
2	 269	 'ISCCP CLOUD WEIGHTS '	 'TMONMN '	 'DIAG '	 apj
2	 269	 'ISCCP CLOUD WEIGHTS '	 'TMPMN00 '	 'DIAG '	 apj
2	 269	 'ISCCP CLOUD WEIGHTS '	 'TMPMN03 '	 'DIAG '	 apj
2	 269	 'ISCCP CLOUD WEIGHTS '	 'TMPMN06 '	 'DIAG '	 apj
2	 269	 'ISCCP CLOUD WEIGHTS '	 'TMPMN09 '	 'DIAG '	 apj
2	 269	 'ISCCP CLOUD WEIGHTS '	 'TMPMN12 '	 'DIAG '	 apj
2	 269	 'ISCCP CLOUD WEIGHTS '	 'TMPMN15 '	 'DIAG '	 apj
2	 269	 'ISCCP CLOUD WEIGHTS '	 'TMPMN18 '	 'DIAG '	 apj
2	 269	 'ISCCP CLOUD WEIGHTS '	 'TMPMN21 '	 'DIAG '	 apj
2	 270	 'ISCCP CLOUD 0.3 <= tau '	 'TDAYM '	 'DA7ISCCP'	 apd
2	 270	 'ISCCP CLOUD 0.3 <= tau '	 'TMONMN '	 'DA7ISCCP'	 apj
2	 271	 'ISCCP CLOUD tau < 0.3 '	 'TMONMN '	 'DA7ISCCP'	 apj
2	 271	 'ISCCP CLOUD tau < 0.3 '	 'TMPMN00 '	 'DA7ISCCP'	 apj
2	 271	 'ISCCP CLOUD tau < 0.3 '	 'TMPMN03 '	 'DA7ISCCP'	 apj
2	 271	 'ISCCP CLOUD tau < 0.3 '	 'TMPMN06 '	 'DA7ISCCP'	 apj
2	 271	 'ISCCP CLOUD tau < 0.3 '	 'TMPMN09 '	 'DA7ISCCP'	 apj
2	 271	 'ISCCP CLOUD tau < 0.3 '	 'TMPMN12 '	 'DA7ISCCP'	 apj
2	 271	 'ISCCP CLOUD tau < 0.3 '	 'TMPMN15 '	 'DA7ISCCP'	 apj
2	 271	 'ISCCP CLOUD tau < 0.3 '	 'TMPMN18 '	 'DA7ISCCP'	 apj
2	 271	 'ISCCP CLOUD tau < 0.3 '	 'TMPMN21 '	 'DA7ISCCP'	 apj
2	 272	 'ISCCP CLOUD 0.3 <= tau < 1.3 '	 'TMONMN '	 'DA7ISCCP'	 apj
2	 272	 'ISCCP CLOUD 0.3 <= tau < 1.3 '	 'TMPMN00 '	 'DA7ISCCP'	 apj
2	 272	 'ISCCP CLOUD 0.3 <= tau < 1.3 '	 'TMPMN03 '	 'DA7ISCCP'	 apj
2	 272	 'ISCCP CLOUD 0.3 <= tau < 1.3 '	 'TMPMN06 '	 'DA7ISCCP'	 apj
